source,target,value
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/205651131,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,way/59988356,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/327179071,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/50163767,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/333481130,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/220004576,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,way/70520443,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,http://Sniper:8080/ardennes-hicking/api/event/AUw7_5uS3b4NyJh4LMtN,1
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/143482817,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/219949819,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/333481125,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,http://Sniper:8080/ardennes-hicking/api/event/AUw7_5ub3b4NyJh4LMtO,1
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/104387619,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,way/327178363,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,http://Sniper:8080/ardennes-hicking/api/event/AUw7_5us3b4NyJh4LMtQ,1
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/59988324,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,way/59988320,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/60097905,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/220011868,3
http://Sniper:8080/ardennes-hicking/api/user/alice,http://Sniper:8080/ardennes-hicking/api/event/AUw7_5us3b4NyJh4LMtQ,2
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/333849640,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,way/327172459,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/333481138,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/220004577,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,node/637693028,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/333852436,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/176498524,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/176498526,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/60097872,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/59988320,3
http://Sniper:8080/ardennes-hicking/api/track/4708248,way/59988338,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/59988348,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/322993926,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/313331197,3
